symbol,exchange,datetime,open,high,low,close,volume,turnover,open_interest
c2611,DCE,2026-09-24 09:27:00,2173.0,2174.0,2173.0,2173.0,275.0,0.0,1180211.0
c2611,DCE,2026-09-24 09:28:00,2173.0,2174.0,2173.0,2173.0,1210.0,0.0,1180235.0
c2611,DCE,2026-09-24 09:29:00,2173.0,2174.0,2173.0,2173.0,236.0,0.0,1180226.0
c2611,DCE,2026-09-24 09:30:00,2173.0,2174.0,2172.0,2172.0,2312.0,0.0,1180136.0
c2611,DCE,2026-09-24 09:31:00,2172.0,2175.0,2172.0,2175.0,3720.0,0.0,1179890.0
c2611,DCE,2026-09-24 09:32:00,2175.0,2175.0,2174.0,2175.0,522.0,0.0,1180984.0
c2611,DCE,2026-09-24 09:33:00,2175.0,2175.0,2174.0,2175.0,512.0,0.0,1180904.0
c2611,DCE,2026-09-24 09:34:00,2175.0,2177.0,2174.0,2177.0,5622.0,0.0,1180998.0
c2611,DCE,2026-09-24 09:35:00,2177.0,2178.0,2176.0,2176.0,2452.0,0.0,1182221.0
c2611,DCE,2026-09-24 09:36:00,2176.0,2177.0,2176.0,2176.0,3529.0,0.0,1181610.0
c2611,DCE,2026-09-24 09:37:00,2176.0,2176.0,2175.0,2176.0,1767.0,0.0,1180684.0
c2611,DCE,2026-09-24 09:38:00,2176.0,2176.0,2175.0,2176.0,1217.0,0.0,1180713.0
c2611,DCE,2026-09-24 09:39:00,2176.0,2176.0,2175.0,2175.0,318.0,0.0,1180468.0
c2611,DCE,2026-09-24 09:40:00,2175.0,2177.0,2175.0,2177.0,1470.0,0.0,1180543.0
c2611,DCE,2026-09-24 09:41:00,2177.0,2177.0,2176.0,2177.0,226.0,0.0,1180846.0
c2611,DCE,2026-09-24 09:42:00,2177.0,2177.0,2176.0,2177.0,275.0,0.0,1180908.0
c2611,DCE,2026-09-24 09:43:00,2177.0,2177.0,2175.0,2176.0,2562.0,0.0,1180844.0
c2611,DCE,2026-09-24 09:44:00,2176.0,2176.0,2175.0,2175.0,693.0,0.0,1179937.0
c2611,DCE,2026-09-24 09:45:00,2175.0,2176.0,2175.0,2176.0,595.0,0.0,1180163.0
c2611,DCE,2026-09-24 09:46:00,2176.0,2177.0,2175.0,2176.0,1037.0,0.0,1180032.0
c2611,DCE,2026-09-24 09:47:00,2176.0,2177.0,2175.0,2176.0,992.0,0.0,1180050.0
c2611,DCE,2026-09-24 09:48:00,2176.0,2176.0,2175.0,2176.0,383.0,0.0,1179700.0
c2611,DCE,2026-09-24 09:49:00,2176.0,2176.0,2174.0,2174.0,2206.0,0.0,1179700.0
c2611,DCE,2026-09-24 09:50:00,2174.0,2175.0,2174.0,2175.0,184.0,0.0,1179762.0
c2611,DCE,2026-09-24 09:51:00,2175.0,2176.0,2174.0,2175.0,1556.0,0.0,1179663.0
c2611,DCE,2026-09-24 09:52:00,2175.0,2176.0,2175.0,2175.0,178.0,0.0,1179254.0
c2611,DCE,2026-09-24 09:53:00,2175.0,2176.0,2174.0,2175.0,1509.0,0.0,1179238.0
c2611,DCE,2026-09-24 09:54:00,2175.0,2175.0,2174.0,2174.0,772.0,0.0,1179012.0
c2611,DCE,2026-09-24 09:55:00,2174.0,2175.0,2174.0,2174.0,220.0,0.0,1178719.0
c2611,DCE,2026-09-24 09:56:00,2174.0,2175.0,2173.0,2173.0,1448.0,0.0,1178728.0
