2026-09-24 11:44:37.087 | INFO | CtaStrategy | [wqk27]  持仓同步结束：system=SYNCING_ORDERS, reason=NONE, strategy_pos=0, account_pos=0, msg=持仓已同步 account_pos=0，开始同步活动订单
2026-09-24 11:44:37.088 | INFO | CtaStrategy | [wqk27]  [V2.7 TREND] ADX=23.248413508804333 +DI=9.721485002582027 -DI=4.370595035049926 candidate=NONE confirm=0/2 state=RANGE
2026-09-24 11:44:37.089 | INFO | CtaStrategy | [wqk27]  [V2.7 REGIME] ADX=RANGE MA=BULL BB=NEUTRAL direction=BEAR Final=RANGE reason=ADX_RANGE
2026-09-24 11:44:37.379 | INFO | CtaStrategy | [wqk27]  柜台委托查询完成，按查询结果对账
2026-09-24 11:44:56.363 | INFO | CtaStrategy | [wqk27]  DoubleMaStrategy V2.7 停止
2026-09-24 12:45:02.709 | INFO | MainEngine | 连接登录 -> CTP
2026-09-24 12:45:02.840 | INFO | CTP | 交易服务器连接成功
2026-09-24 12:45:02.845 | INFO | CTP | 行情服务器连接成功
2026-09-24 12:45:02.901 | INFO | CTP | 行情服务器登录成功
2026-09-24 12:45:03.085 | INFO | CTP | 交易服务器授权验证成功
2026-09-24 12:45:03.121 | INFO | CTP | 交易服务器登录成功
2026-09-24 12:45:03.318 | INFO | CTP | 结算信息确认成功
2026-09-24 12:45:10.269 | INFO | CTP | 合约信息查询成功
2026-09-24 12:45:10.325 | INFO | CtaStrategy | CTA策略引擎初始化成功
2026-09-24 12:47:20.660 | INFO | MainEngine | 连接登录 -> CTP
2026-09-24 12:47:20.784 | INFO | CTP | 行情服务器连接成功
2026-09-24 12:47:20.793 | INFO | CTP | 交易服务器连接成功
2026-09-24 12:47:20.845 | INFO | CTP | 行情服务器登录成功
2026-09-24 12:47:21.050 | INFO | CTP | 交易服务器授权验证成功
2026-09-24 12:47:21.084 | INFO | CTP | 交易服务器登录成功
2026-09-24 12:47:21.289 | INFO | CTP | 结算信息确认成功
2026-09-24 12:47:28.065 | INFO | CTP | 合约信息查询成功
2026-09-24 12:47:28.082 | INFO | CtaStrategy | CTA策略引擎初始化成功
2026-09-24 12:47:39.958 | INFO | CtaStrategy | wqk27开始执行初始化
2026-09-24 12:47:39.958 | INFO | CtaStrategy | [wqk27]  DoubleMaStrategy V2.7 initialized ExecutionCore 2.3.1
2026-09-24 12:47:48.549 | INFO | MainEngine | 订阅行情 -> CTP：SubscribeRequest(symbol='c2611', exchange=<Exchange.DCE: 'DCE'>)
2026-09-24 12:47:48.549 | INFO | CtaStrategy | wqk27初始化完成
2026-09-24 12:51:35.275 | INFO | MainEngine | 连接登录 -> CTP
2026-09-24 12:51:35.375 | INFO | CTP | 交易服务器连接成功
2026-09-24 12:51:35.635 | INFO | CTP | 行情服务器连接成功
2026-09-24 12:51:35.635 | INFO | CTP | 交易服务器授权验证成功
2026-09-24 12:51:35.636 | INFO | CTP | 行情服务器登录成功
2026-09-24 12:51:35.670 | INFO | CTP | 交易服务器登录成功
2026-09-24 12:51:35.877 | INFO | CTP | 结算信息确认成功
2026-09-24 12:51:42.369 | INFO | CTP | 合约信息查询成功
2026-09-24 12:51:45.030 | INFO | CtaStrategy | CTA策略引擎初始化成功
2026-09-24 12:52:18.789 | INFO | CtaStrategy | wqk27开始执行初始化
2026-09-24 12:52:18.789 | INFO | CtaStrategy | [wqk27]  DoubleMaStrategy V2.7 initialized ExecutionCore 2.3.1
2026-09-24 12:52:27.407 | INFO | MainEngine | 订阅行情 -> CTP：SubscribeRequest(symbol='c2611', exchange=<Exchange.DCE: 'DCE'>)
2026-09-24 12:52:27.408 | INFO | CtaStrategy | wqk27初始化完成
2026-09-24 12:55:26.003 | INFO | MainEngine | 连接登录 -> CTP
2026-09-24 12:55:26.119 | INFO | CTP | 交易服务器连接成功
2026-09-24 12:55:26.147 | INFO | CTP | 行情服务器连接成功
2026-09-24 12:55:26.379 | INFO | CTP | 交易服务器授权验证成功
